DATAFLOW,MEASURE: Measure,ESTIMATE_TYPE: Estimate Type,SEX: Sex,SECTOR: Sector,INDUSTRY: Industry,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,7: Northern Territory,Q: Quarterly,2020-Q2,1443.3,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,7: Northern Territory,Q: Quarterly,2020-Q4,1381.5,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,7: Northern Territory,Q: Quarterly,2021-Q2,1387,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,7: Northern Territory,Q: Quarterly,2021-Q4,1387.8,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,7: Northern Territory,Q: Quarterly,2022-Q2,1430,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,20: Seasonally Adjusted,6: Tasmania,Q: Quarterly,2020-Q2,1080.4,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,20: Seasonally Adjusted,6: Tasmania,Q: Quarterly,2020-Q4,1080.3,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,20: Seasonally Adjusted,6: Tasmania,Q: Quarterly,2021-Q2,1132.8,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,20: Seasonally Adjusted,6: Tasmania,Q: Quarterly,2021-Q4,1123.9,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,20: Seasonally Adjusted,6: Tasmania,Q: Quarterly,2022-Q2,1163.8,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,"I: Transport, Postal and Warehousing",10: Original,AUS: Australia,Q: Quarterly,2020-Q2,1521.1,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,"I: Transport, Postal and Warehousing",10: Original,AUS: Australia,Q: Quarterly,2020-Q4,1571.2,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,"I: Transport, Postal and Warehousing",10: Original,AUS: Australia,Q: Quarterly,2021-Q2,1551,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,"I: Transport, Postal and Warehousing",10: Original,AUS: Australia,Q: Quarterly,2021-Q4,1593,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,"I: Transport, Postal and Warehousing",10: Original,AUS: Australia,Q: Quarterly,2022-Q2,1606.2,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,P: Education and Training,10: Original,AUS: Australia,Q: Quarterly,2020-Q2,1292.3,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,P: Education and Training,10: Original,AUS: Australia,Q: Quarterly,2020-Q4,1283.6,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,P: Education and Training,10: Original,AUS: Australia,Q: Quarterly,2021-Q2,1318.5,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,P: Education and Training,10: Original,AUS: Australia,Q: Quarterly,2021-Q4,1331.4,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,P: Education and Training,10: Original,AUS: Australia,Q: Quarterly,2022-Q2,1324.3,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,B: Mining,10: Original,AUS: Australia,Q: Quarterly,2020-Q2,2733.6,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,B: Mining,10: Original,AUS: Australia,Q: Quarterly,2020-Q4,2636.1,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,B: Mining,10: Original,AUS: Australia,Q: Quarterly,2021-Q2,2743.5,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,B: Mining,10: Original,AUS: Australia,Q: Quarterly,2021-Q4,2695.7,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,B: Mining,10: Original,AUS: Australia,Q: Quarterly,2022-Q2,2700.8,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,K: Financial and Insurance Services,10: Original,AUS: Australia,Q: Quarterly,2020-Q2,1770,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,K: Financial and Insurance Services,10: Original,AUS: Australia,Q: Quarterly,2020-Q4,1777.5,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,K: Financial and Insurance Services,10: Original,AUS: Australia,Q: Quarterly,2021-Q2,1819.3,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,K: Financial and Insurance Services,10: Original,AUS: Australia,Q: Quarterly,2021-Q4,1858.6,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,K: Financial and Insurance Services,10: Original,AUS: Australia,Q: Quarterly,2022-Q2,1919.6,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,6: Tasmania,Q: Quarterly,2020-Q2,1077.7,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,6: Tasmania,Q: Quarterly,2020-Q4,1083.2,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,6: Tasmania,Q: Quarterly,2021-Q2,1130,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,6: Tasmania,Q: Quarterly,2021-Q4,1127,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,TOT: All Industries,10: Original,6: Tasmania,Q: Quarterly,2022-Q2,1161,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,G: Retail Trade,10: Original,AUS: Australia,Q: Quarterly,2020-Q2,791.8,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,G: Retail Trade,10: Original,AUS: Australia,Q: Quarterly,2020-Q4,750.7,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,G: Retail Trade,10: Original,AUS: Australia,Q: Quarterly,2021-Q2,802.2,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,G: Retail Trade,10: Original,AUS: Australia,Q: Quarterly,2021-Q4,806.9,AUD: Australian Dollars,,
ABS:AWE(1.0.0),1: All employees average weekly total earnings,1: Earnings,3: Persons,7: Private and Public,G: Retail Trade,10: Original,AUS: Australia,Q: Quarterly,2022-Q2,792.5,AUD: Australian Dollars,,
